year,game_pk,game_date,game_datetime,status_code,status_description,home_team_id,home_team_name,away_team_id,away_team_name,venue_id,venue_name,game_type,season,season_display,home_score,away_score,winning_team_id,losing_team_id
2015,429703,2015-04-01,2015-04-01T17:05:00Z,F,Final,117,Houston Astros,116,Detroit Tigers,2514,Osceola County Stadium,S,2015,2015,3.0,2.0,117.0,116.0
2015,415288,2015-08-07,2015-08-07T20:05:00Z,F,Final,112,Chicago Cubs,137,San Francisco Giants,17,Wrigley Field,R,2015,2015,7.0,3.0,112.0,137.0
2015,415281,2015-08-07,2015-08-07T23:05:00Z,F,Final,120,Washington Nationals,115,Colorado Rockies,3309,Nationals Park,R,2015,2015,4.0,5.0,115.0,120.0
2015,415283,2015-08-07,2015-08-07T23:05:00Z,F,Final,134,Pittsburgh Pirates,119,Los Angeles Dodgers,31,PNC Park,R,2015,2015,5.0,4.0,134.0,119.0
2015,415291,2015-08-07,2015-08-07T23:05:00Z,F,Final,147,New York Yankees,141,Toronto Blue Jays,3313,Yankee Stadium,R,2015,2015,1.0,2.0,141.0,147.0
2015,415278,2015-08-07,2015-08-07T23:08:00Z,F,Final,116,Detroit Tigers,111,Boston Red Sox,2394,Comerica Park,R,2015,2015,2.0,7.0,111.0,116.0
2015,415286,2015-08-07,2015-08-07T23:10:00Z,F,Final,139,Tampa Bay Rays,121,New York Mets,12,Tropicana Field,R,2015,2015,3.0,4.0,121.0,139.0
2015,415285,2015-08-07,2015-08-07T23:10:00Z,F,Final,114,Cleveland Indians,142,Minnesota Twins,5,Progressive Field,R,2015,2015,9.0,10.0,142.0,114.0
2015,415269,2015-08-06,2015-08-07T02:05:00Z,F,Final,133,Oakland Athletics,117,Houston Astros,10,O.co Coliseum,R,2015,2015,4.0,5.0,117.0,133.0
2015,415284,2015-08-07,2015-08-07T23:35:00Z,F,Final,144,Atlanta Braves,146,Miami Marlins,16,Turner Field,R,2015,2015,6.0,3.0,144.0,146.0
2015,415289,2015-08-07,2015-08-08T00:10:00Z,F,Final,158,Milwaukee Brewers,138,St. Louis Cardinals,32,Miller Park,R,2015,2015,0.0,6.0,138.0,158.0
2015,415280,2015-08-07,2015-08-08T01:40:00Z,F,Final,109,Arizona Diamondbacks,113,Cincinnati Reds,15,Chase Field,R,2015,2015,2.0,0.0,109.0,113.0
2015,415277,2015-08-07,2015-08-08T02:05:00Z,F,Final,108,Los Angeles Angels,110,Baltimore Orioles,1,Angel Stadium of Anaheim,R,2015,2015,8.0,4.0,108.0,110.0
2015,415282,2015-08-07,2015-08-08T02:05:00Z,F,Final,133,Oakland Athletics,117,Houston Astros,10,O.co Coliseum,R,2015,2015,3.0,1.0,133.0,117.0
2015,415290,2015-08-07,2015-08-08T02:10:00Z,F,Final,136,Seattle Mariners,140,Texas Rangers,680,Safeco Field,R,2015,2015,4.0,3.0,136.0,140.0
2015,415287,2015-08-07,2015-08-08T02:10:00Z,F,Final,135,San Diego Padres,143,Philadelphia Phillies,2680,Petco Park,R,2015,2015,3.0,4.0,143.0,135.0
2015,415306,2015-08-08,2015-08-08T17:05:00Z,F,Final,147,New York Yankees,141,Toronto Blue Jays,3313,Yankee Stadium,R,2015,2015,0.0,6.0,141.0,147.0
2015,415279,2015-08-07,2015-08-08T00:10:00Z,F,Final,118,Kansas City Royals,145,Chicago White Sox,7,Kauffman Stadium,R,2015,2015,3.0,2.0,118.0,145.0
2015,415297,2015-08-08,2015-08-08T20:05:00Z,F,Final,133,Oakland Athletics,117,Houston Astros,10,O.co Coliseum,R,2015,2015,2.0,1.0,133.0,117.0
2015,415275,2015-08-06,2015-08-07T00:05:00Z,F,Final,112,Chicago Cubs,137,San Francisco Giants,17,Wrigley Field,R,2015,2015,5.0,4.0,112.0,137.0
2015,415273,2015-08-06,2015-08-06T23:07:00Z,F,Final,141,Toronto Blue Jays,142,Minnesota Twins,14,Rogers Centre,R,2015,2015,9.0,3.0,141.0,142.0
2015,415255,2015-08-05,2015-08-05T23:05:00Z,F,Final,134,Pittsburgh Pirates,112,Chicago Cubs,31,PNC Park,R,2015,2015,7.0,5.0,134.0,112.0
2015,415259,2015-08-05,2015-08-05T23:05:00Z,F,Final,143,Philadelphia Phillies,119,Los Angeles Dodgers,2681,Citizens Bank Park,R,2015,2015,3.0,4.0,119.0,143.0
2015,415254,2015-08-05,2015-08-05T23:05:00Z,F,Final,147,New York Yankees,111,Boston Red Sox,3313,Yankee Stadium,R,2015,2015,1.0,2.0,111.0,147.0
2015,415260,2015-08-05,2015-08-05T23:07:00Z,F,Final,141,Toronto Blue Jays,142,Minnesota Twins,14,Rogers Centre,R,2015,2015,9.0,7.0,141.0,142.0
2015,415258,2015-08-05,2015-08-05T23:08:00Z,F,Final,116,Detroit Tigers,118,Kansas City Royals,2394,Comerica Park,R,2015,2015,2.0,1.0,116.0,118.0
2015,415265,2015-08-05,2015-08-05T23:10:00Z,F,Final,113,Cincinnati Reds,138,St. Louis Cardinals,2602,Great American Ball Park,R,2015,2015,3.0,4.0,138.0,113.0
2015,415264,2015-08-05,2015-08-05T23:10:00Z,F,Final,144,Atlanta Braves,137,San Francisco Giants,16,Turner Field,R,2015,2015,1.0,6.0,137.0,144.0
2015,415272,2015-08-06,2015-08-06T23:10:00Z,F,Final,144,Atlanta Braves,146,Miami Marlins,16,Turner Field,R,2015,2015,9.0,8.0,144.0,146.0
2015,415261,2015-08-05,2015-08-05T23:10:00Z,F,Final,146,Miami Marlins,121,New York Mets,4169,Marlins Park,R,2015,2015,6.0,8.0,121.0,146.0
2015,415262,2015-08-05,2015-08-06T00:10:00Z,F,Final,158,Milwaukee Brewers,135,San Diego Padres,32,Miller Park,R,2015,2015,8.0,5.0,158.0,135.0
2015,415276,2015-08-06,2015-08-06T16:35:00Z,F,Final,113,Cincinnati Reds,138,St. Louis Cardinals,2602,Great American Ball Park,R,2015,2015,0.0,3.0,138.0,113.0
2015,415271,2015-08-06,2015-08-06T17:05:00Z,F,Final,143,Philadelphia Phillies,119,Los Angeles Dodgers,2681,Citizens Bank Park,R,2015,2015,8.0,10.0,119.0,143.0
2015,415270,2015-08-06,2015-08-06T17:08:00Z,F,Final,116,Detroit Tigers,118,Kansas City Royals,2394,Comerica Park,R,2015,2015,8.0,6.0,116.0,118.0
2015,415274,2015-08-06,2015-08-06T18:10:00Z,F,Final,158,Milwaukee Brewers,135,San Diego Padres,32,Miller Park,R,2015,2015,10.0,1.0,158.0,135.0
2015,415267,2015-08-06,2015-08-06T20:05:00Z,F,Final,120,Washington Nationals,109,Arizona Diamondbacks,3309,Nationals Park,R,2015,2015,8.0,3.0,120.0,109.0
2015,415268,2015-08-06,2015-08-06T23:05:00Z,F,Final,147,New York Yankees,111,Boston Red Sox,3313,Yankee Stadium,R,2015,2015,2.0,1.0,147.0,111.0
2015,415257,2015-08-05,2015-08-06T00:05:00Z,F,Final,140,Texas Rangers,117,Houston Astros,13,Globe Life Park in Arlington,R,2015,2015,4.0,3.0,140.0,117.0
2015,415252,2015-08-05,2015-08-05T23:05:00Z,F,Final,120,Washington Nationals,109,Arizona Diamondbacks,3309,Nationals Park,R,2015,2015,4.0,11.0,109.0,120.0
2015,415298,2015-08-08,2015-08-08T20:05:00Z,F,Final,134,Pittsburgh Pirates,119,Los Angeles Dodgers,31,PNC Park,R,2015,2015,6.0,5.0,134.0,119.0
2015,415305,2015-08-08,2015-08-08T20:10:00Z,F,Final,136,Seattle Mariners,140,Texas Rangers,680,Safeco Field,R,2015,2015,3.0,11.0,140.0,136.0
2015,415310,2015-08-09,2015-08-09T20:10:00Z,F,Final,109,Arizona Diamondbacks,113,Cincinnati Reds,15,Chase Field,R,2015,2015,4.0,3.0,109.0,113.0
2015,415320,2015-08-09,2015-08-09T20:10:00Z,F,Final,136,Seattle Mariners,140,Texas Rangers,680,Safeco Field,R,2015,2015,4.0,2.0,136.0,140.0
2015,415317,2015-08-09,2015-08-09T20:10:00Z,F,Final,135,San Diego Padres,143,Philadelphia Phillies,2680,Petco Park,R,2015,2015,3.0,5.0,143.0,135.0
2015,415314,2015-08-09,2015-08-09T21:05:00Z,F,Final,144,Atlanta Braves,146,Miami Marlins,16,Turner Field,R,2015,2015,1.0,4.0,146.0,144.0
2015,415313,2015-08-09,2015-08-10T00:08:00Z,F,Final,134,Pittsburgh Pirates,119,Los Angeles Dodgers,31,PNC Park,R,2015,2015,13.0,6.0,134.0,119.0
2015,415325,2015-08-10,2015-08-10T23:10:00Z,F,Final,121,New York Mets,115,Colorado Rockies,3289,Citi Field,R,2015,2015,4.0,2.0,121.0,115.0
2015,415326,2015-08-10,2015-08-11T00:10:00Z,F,Final,118,Kansas City Royals,116,Detroit Tigers,7,Kauffman Stadium,R,2015,2015,4.0,0.0,118.0,116.0
2015,415312,2015-08-09,2015-08-09T20:05:00Z,F,Final,133,Oakland Athletics,117,Houston Astros,10,O.co Coliseum,R,2015,2015,5.0,4.0,133.0,117.0
2015,415322,2015-08-10,2015-08-11T00:10:00Z,F,Final,145,Chicago White Sox,108,Los Angeles Angels,4,U.S. Cellular Field,R,2015,2015,8.0,2.0,145.0,108.0
2015,415328,2015-08-10,2015-08-11T02:10:00Z,F,Final,119,Los Angeles Dodgers,120,Washington Nationals,22,Dodger Stadium,R,2015,2015,3.0,8.0,120.0,119.0
2015,415324,2015-08-10,2015-08-11T02:10:00Z,F,Final,135,San Diego Padres,113,Cincinnati Reds,2680,Petco Park,R,2015,2015,2.0,1.0,135.0,113.0
2015,415323,2015-08-10,2015-08-11T02:10:00Z,F,Final,136,Seattle Mariners,110,Baltimore Orioles,680,Safeco Field,R,2015,2015,2.0,3.0,110.0,136.0
2015,415339,2015-08-11,2015-08-11T23:07:00Z,F,Final,141,Toronto Blue Jays,133,Oakland Athletics,14,Rogers Centre,R,2015,2015,4.0,2.0,141.0,133.0
2015,415334,2015-08-11,2015-08-11T23:10:00Z,F,Final,121,New York Mets,115,Colorado Rockies,3289,Citi Field,R,2015,2015,4.0,0.0,121.0,115.0
2015,415330,2015-08-11,2015-08-11T23:10:00Z,F,Final,139,Tampa Bay Rays,144,Atlanta Braves,12,Tropicana Field,R,2015,2015,2.0,0.0,139.0,144.0
2015,415332,2015-08-11,2015-08-11T23:10:00Z,F,Final,146,Miami Marlins,111,Boston Red Sox,4169,Marlins Park,R,2015,2015,5.0,4.0,146.0,111.0
2015,415327,2015-08-10,2015-08-11T01:40:00Z,F,Final,109,Arizona Diamondbacks,143,Philadelphia Phillies,15,Chase Field,R,2015,2015,13.0,3.0,109.0,143.0
2015,415303,2015-08-08,2015-08-08T20:05:00Z,F,Final,112,Chicago Cubs,137,San Francisco Giants,17,Wrigley Field,R,2015,2015,8.0,6.0,112.0,137.0
2015,415307,2015-08-09,2015-08-09T19:37:00Z,F,Final,108,Los Angeles Angels,110,Baltimore Orioles,1,Angel Stadium of Anaheim,R,2015,2015,5.0,4.0,108.0,110.0
2015,415319,2015-08-09,2015-08-09T18:10:00Z,F,Final,158,Milwaukee Brewers,138,St. Louis Cardinals,32,Miller Park,R,2015,2015,5.0,4.0,158.0,138.0
2015,415301,2015-08-08,2015-08-08T22:10:00Z,F,Final,139,Tampa Bay Rays,121,New York Mets,12,Tropicana Field,R,2015,2015,5.0,4.0,139.0,121.0
