year,team_id,team_name,division_id,division_name,league_id,league_name,wins,losses,pct,games_back,wild_card_games_back,division_rank,league_rank,sport_rank,runs_scored,runs_allowed,run_differential,streak_type,streak_number,streak_code,last_updated
2021,139,Tampa Bay Rays,201,Unknown Division,103,Unknown League,100,62,0.617,-,-,1,1,3,857,651,206,losses,1,L1,2024-05-22T20:53:25Z
2021,111,Boston Red Sox,201,Unknown Division,103,Unknown League,92,70,0.568,8.0,-,2,4,7,829,749,80,wins,3,W3,2025-02-25T14:24:31Z
2021,147,New York Yankees,201,Unknown Division,103,Unknown League,92,70,0.568,8.0,-,3,5,8,711,669,42,wins,1,W1,2025-03-05T17:14:31Z
2021,141,Toronto Blue Jays,201,Unknown Division,103,Unknown League,91,71,0.562,9.0,1.0,4,6,9,846,663,183,wins,3,W3,2024-05-22T21:22:47Z
2021,110,Baltimore Orioles,201,Unknown Division,103,Unknown League,52,110,0.321,48.0,40.0,5,15,30,659,956,-297,losses,3,L3,2025-03-05T17:14:25Z
2021,145,Chicago White Sox,202,Unknown Division,103,Unknown League,93,69,0.574,-,-,1,3,6,796,636,160,losses,1,L1,2024-10-29T23:12:08Z
2021,114,Cleveland Indians,202,Unknown Division,103,Unknown League,80,82,0.494,13.0,12.0,2,9,16,717,727,-10,wins,1,W1,2024-09-30T15:45:02Z
2021,116,Detroit Tigers,202,Unknown Division,103,Unknown League,77,85,0.475,16.0,15.0,3,10,18,697,756,-59,wins,1,W1,2024-05-22T19:55:55Z
2021,118,Kansas City Royals,202,Unknown Division,103,Unknown League,74,88,0.457,19.0,18.0,4,12,22,686,788,-102,losses,2,L2,2024-05-22T21:22:40Z
2021,142,Minnesota Twins,202,Unknown Division,103,Unknown League,73,89,0.451,20.0,19.0,5,13,23,729,834,-105,wins,2,W2,2024-07-16T19:42:59Z
2021,117,Houston Astros,200,Unknown Division,103,Unknown League,95,67,0.586,-,-,1,2,4,863,658,205,wins,2,W2,2024-05-22T19:37:02Z
2021,136,Seattle Mariners,200,Unknown Division,103,Unknown League,90,72,0.556,5.0,2.0,2,7,10,697,748,-51,losses,1,L1,2024-05-22T21:18:25Z
2021,133,Oakland Athletics,200,Unknown Division,103,Unknown League,86,76,0.531,9.0,6.0,3,8,13,743,687,56,losses,2,L2,2024-05-22T20:53:50Z
